account_id,account_name,signup_date,seats,is_trial,churn_flag,days_since_signup,n_subscriptions,n_churned_subs,n_upgrades,n_downgrades,n_trial_subs,total_mrr,max_mrr,avg_mrr,auto_renew_pct,tenure_days,latest_mrr,sub_churn_rate,upgrade_net,total_usage_events,unique_features_used,total_usage_duration_mins,total_errors,beta_feature_pct,avg_usage_count,error_rate,feature_breadth,n_tickets,avg_resolution_hours,avg_first_response_mins,avg_satisfaction,n_escalations,urgent_pct,escalation_rate,n_churn_events,had_reactivation,had_preceding_downgrade,had_preceding_upgrade,total_refund_usd,primary_churn_reason_budget,primary_churn_reason_competitor,primary_churn_reason_features,primary_churn_reason_pricing,primary_churn_reason_support,primary_churn_reason_unknown,days_since_last_usage,usage_last_30d,usage_last_90d,recency_ratio,has_active_sub,active_mrr,usage_per_seat,tickets_per_seat,mrr_per_seat,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,plan_tier_Basic,plan_tier_Enterprise,plan_tier_Pro,latest_plan_tier_Basic,latest_plan_tier_Enterprise,latest_plan_tier_Pro,billing_freq_annual,billing_freq_monthly
A-2e4581,Company_0,2024-10-16,9,False,False,278,10,0,1,0,2,12603,5771,1260.3,0.8,274,836,0.0,1,55,27,2539.0,38,0.073,9.73,0.6909,0.675,2.0,23.0,91.0,3.5,0.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,True,False,False,False,False,False,223,0,0,0.0,1,12603,6.11,0.222,1400.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True
A-43a9e3,Company_1,2023-08-17,18,False,True,704,8,0,3,0,0,10004,5572,1250.5,0.75,670,882,0.0,3,35,23,1685.6,14,0.057,10.14,0.4,0.575,3.0,38.0,73.3,4.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,204,0,0,0.0,1,10004,1.94,0.167,555.8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True
A-0a282f,Company_2,2024-08-27,1,False,False,328,15,3,1,1,1,18286,5771,1219.1,1.0,119,98,0.2,0,83,34,4186.8,48,0.06,9.89,0.5783,0.85,3.0,43.7,63.7,4.67,0.0,0.333,0.0,2.0,0.0,1.0,0.0,62.66,False,False,True,False,False,False,211,0,0,0.0,1,13311,83.0,3.0,18286.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
A-1f0ac7,Company_3,2023-08-27,24,True,False,694,7,0,2,0,1,9275,4776,1325.0,0.714,595,1176,0.0,2,41,26,1708.8,21,0.122,9.32,0.5122,0.65,2.0,29.0,174.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,False,False,False,True,False,222,0,0,0.0,1,9275,1.71,0.083,386.5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True
A-ce550d,Company_4,2024-10-27,35,False,True,267,9,2,2,0,1,48761,21691,5417.9,0.667,64,21691,0.2222222222222222,2,58,32,3596.3,31,0.069,9.98,0.5345,0.8,7.0,42.3,107.9,3.86,1.0,0.286,0.143,1.0,0.0,0.0,1.0,0.0,True,False,False,False,False,False,210,0,0,0.0,1,25355,1.66,0.2,1393.2,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
A-1b9609,Company_5,2023-10-12,4,False,False,648,11,1,0,0,1,16810,6965,1528.2,0.818,255,0,0.09090909090909091,0,47,28,2342.4,21,0.128,9.72,0.4468,0.7,4.0,43.0,74.8,3.75,0.0,0.25,0.0,3.0,0.0,0.0,1.0,0.0,False,False,False,False,False,True,243,0,0,0.0,1,16614,11.75,1.0,4202.5,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
A-a0ca4e,Company_6,2024-03-08,11,False,False,500,9,0,0,0,1,16633,5174,1848.1,0.889,492,5174,0.0,0,39,26,1949.4,14,0.077,9.56,0.359,0.65,6.0,39.2,89.8,3.83,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,216,0,0,0.0,1,16633,3.55,0.545,1512.1,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True
A-e5d6ab,Company_7,2023-04-15,3,False,False,828,10,1,0,0,1,13048,4179,1304.8,0.9,358,1568,0.1,0,41,29,1858.4,23,0.122,9.32,0.561,0.725,3.0,42.7,57.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,False,True,False,False,False,False,231,0,0,0.0,1,12383,13.67,1.0,4349.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False
A-7dacce,Company_8,2024-09-10,12,False,True,314,10,0,1,0,3,23057,13333,2305.7,0.7,314,0,0.0,1,48,27,2423.8,29,0.104,9.83,0.6042,0.675,4.0,32.5,75.2,3.75,0.0,0.25,0.0,3.0,0.0,0.0,1.0,0.0,True,False,False,False,False,False,204,0,0,0.0,1,23057,4.0,0.333,1921.4,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
A-10b8da,Company_9,2023-05-08,14,False,True,805,6,1,1,0,1,8787,3383,1464.5,0.667,254,1666,0.16666666666666666,1,27,23,1230.3,14,0.074,9.52,0.5185,0.575,3.0,31.3,71.3,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,210,0,0,0.0,1,5404,1.93,0.214,627.6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True
