account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,churned_next_180d,days_since_signup,n_subscriptions,n_upgrades,n_downgrades,n_trial_subs,total_mrr,max_mrr,avg_mrr,auto_renew_pct,tenure_days,n_ended_subs,latest_plan_tier,billing_freq,latest_seats,latest_mrr,first_seats,first_mrr,seat_growth,mrr_growth,mrr_growth_pct,upgrade_net,mrr_std,mrr_cv,pct_subs_ended,days_since_last_sub_start,total_usage_events,unique_features_used,total_usage_duration_mins,total_errors,beta_feature_pct,avg_usage_count,days_since_last_usage,usage_span_days,error_rate,usage_last_30d,usage_last_60d,usage_last_90d,usage_last_180d,accel_30d_vs_90d,accel_30d_vs_180d,accel_90d_vs_180d,usage_prior_90d,usage_momentum,usage_delta_90d,recency_ratio_90d,usage_trend_slope,mean_gap_days,max_gap_days,n_tickets,avg_resolution_hours,max_resolution_hours,avg_first_response_mins,avg_satisfaction,min_satisfaction,sat_missing_rate,n_escalations,days_since_last_ticket,n_urgent_high,urgent_pct,escalation_rate,tickets_last_30d,tickets_last_90d,tickets_last_180d,ticket_accel_30d_vs_90d,usage_per_seat,tickets_per_seat,mrr_per_seat
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,0,288,7.0,3.0,0.0,0.0,9122.0,5572.0,1303.1,0.714,254.0,0.0,Basic,annual,27.0,513.0,22.0,418.0,5.0,95.0,0.227,3.0,1894.4563361354649,1.454,0.0,66.0,22.0,16.0,1065.4,7.0,0.045,9.77,37.0,471.0,0.3182,0.0,2.0,3.0,8.0,0.0,0.0,0.75,5.0,0.6,-2.0,0.136,-0.0,22.4,87.0,2.0,39.5,64.0,89.5,4.5,4.0,0.0,0.0,434.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.22,0.111,506.8
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,1,278,4.0,0.0,0.0,0.0,7491.0,4776.0,1872.8,0.5,179.0,0.0,Basic,annual,47.0,893.0,24.0,1176.0,23.0,-283.0,-0.241,0.0,1947.5751376177163,1.04,0.0,28.0,16.0,13.0,772.0,6.0,0.125,10.44,58.0,439.0,0.375,0.0,1.0,2.0,5.0,0.0,0.0,0.8,3.0,0.667,-1.0,0.125,-0.0344,29.3,58.0,2.0,29.0,44.0,174.0,,,1.0,0.0,49.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.67,0.083,312.1
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,0,84,3.0,0.0,0.0,0.0,2806.0,2388.0,935.3,0.667,76.0,0.0,Basic,annual,11.0,209.0,12.0,2388.0,-1.0,-2179.0,-0.912,0.0,1258.0462365641945,1.345,0.0,16.0,10.0,8.0,578.2,3.0,0.0,10.2,7.0,362.0,0.3,1.0,1.0,2.0,5.0,1.5,1.2,0.8,3.0,0.667,-1.0,0.2,0.0,40.2,79.0,5.0,34.8,60.0,99.8,3.8,3.0,0.0,3.0,215.0,1.0,0.2,0.6,0.0,0.0,0.0,,0.91,0.455,255.1
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,0,389,4.0,1.0,0.0,1.0,4335.0,3383.0,1083.8,0.75,385.0,1.0,Pro,annual,14.0,686.0,17.0,3383.0,-3.0,-2697.0,-0.797,1.0,1558.6302480062423,1.438,0.25,22.0,14.0,13.0,510.1,4.0,0.071,9.64,31.0,459.0,0.2857,0.0,1.0,1.0,3.0,0.0,0.0,0.667,2.0,0.5,-1.0,0.071,0.0,35.3,123.0,3.0,31.3,37.0,71.3,3.5,3.0,0.333,0.0,251.0,2.0,0.667,0.0,0.0,0.0,0.0,,1.0,0.214,309.6
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,0,413,7.0,2.0,0.0,1.0,3076.0,1393.0,439.4,0.857,397.0,0.0,Basic,monthly,15.0,285.0,15.0,285.0,0.0,0.0,0.0,2.0,464.09835780175496,1.056,0.0,23.0,26.0,18.0,1639.8,13.0,0.077,10.81,21.0,489.0,0.5,1.0,4.0,6.0,14.0,0.5,0.429,0.857,8.0,0.75,-2.0,0.231,0.0265,19.6,98.0,2.0,47.0,58.0,99.5,5.0,5.0,0.5,1.0,23.0,1.0,0.5,0.5,1.0,1.0,1.0,3.0,3.71,0.286,439.4
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,1,266,7.0,1.0,0.0,1.0,27214.0,14129.0,3887.7,0.857,247.0,0.0,Basic,monthly,27.0,513.0,21.0,1029.0,6.0,-516.0,-0.501,1.0,5184.6706971701915,1.334,0.0,66.0,33.0,24.0,1529.9,23.0,0.182,9.36,25.0,487.0,0.697,1.0,3.0,5.0,10.0,0.6,0.6,1.0,5.0,1.0,0.0,0.152,0.0068,15.2,65.0,1.0,21.0,21.0,23.0,,,1.0,0.0,64.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.57,0.048,1295.9
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,0,282,3.0,0.0,0.0,0.0,1653.0,551.0,551.0,1.0,281.0,0.0,Basic,annual,29.0,551.0,29.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,13.0,798.5,10.0,0.133,10.47,21.0,460.0,0.6667,2.0,2.0,2.0,5.0,3.0,2.4,0.8,3.0,0.667,-1.0,0.133,0.0546,32.9,94.0,4.0,52.5,70.0,98.8,3.0,3.0,0.75,0.0,4.0,1.0,0.25,0.0,1.0,1.0,1.0,3.0,0.52,0.138,57.0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,0,449,3.0,0.0,1.0,1.0,1254.0,912.0,418.0,0.667,416.0,0.0,Basic,annual,58.0,0.0,48.0,912.0,10.0,-912.0,-1.0,-1.0,460.72551481332135,1.102,0.0,102.0,9.0,9.0,542.2,7.0,0.222,9.44,147.0,324.0,0.7778,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,-1.0,0.0,,40.5,77.0,5.0,36.0,58.0,59.0,3.6,3.0,0.0,0.0,8.0,1.0,0.2,0.0,1.0,2.0,2.0,1.5,0.5,0.278,69.7
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,1,11,3.0,0.0,0.0,0.0,51342.0,17114.0,17114.0,0.667,7.0,0.0,Enterprise,annual,86.0,17114.0,86.0,17114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,13.0,847.6,9.0,0.214,10.14,15.0,455.0,0.6429,1.0,2.0,4.0,5.0,0.75,1.2,1.6,1.0,4.0,3.0,0.286,0.0,35.0,85.0,2.0,54.5,57.0,97.0,4.0,4.0,0.5,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.16,0.023,597.0
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,0,259,4.0,0.0,0.0,1.0,905.0,392.0,226.2,0.75,258.0,0.0,Enterprise,annual,9.0,0.0,8.0,392.0,1.0,-392.0,-1.0,0.0,184.69140929308722,0.816,0.0,57.0,28.0,18.0,1286.7,11.0,0.179,10.43,11.0,505.0,0.3929,2.0,3.0,4.0,10.0,1.5,1.2,0.8,6.0,0.667,-2.0,0.143,-0.0194,18.7,78.0,2.0,33.0,65.0,120.5,,,1.0,0.0,259.0,2.0,1.0,0.0,0.0,0.0,0.0,,3.5,0.25,113.1
