feature,auc,verdict
days_since_signup,0.6497,ok
tenure_days,0.6131,ok
latest_plan_tier_Pro,0.6016,ok
n_trial_subs,0.5996,ok
total_errors,0.5899,ok
avg_usage_count,0.5814,ok
n_subscriptions,0.5719,ok
latest_mrr,0.5669,ok
total_usage_events,0.5648,ok
days_since_last_sub_start,0.5634,ok
mrr_growth_pct,0.5597,ok
first_mrr,0.5584,ok
usage_prior_90d,0.5574,ok
avg_mrr,0.556,ok
n_upgrades,0.5554,ok
error_rate,0.5552,ok
usage_last_180d,0.5533,ok
industry_DevTools,0.5518,ok
usage_span_days,0.5503,ok
usage_last_90d,0.543,ok
avg_first_response_mins,0.5426,ok
avg_resolution_hours,0.5387,ok
total_usage_duration_mins,0.537,ok
n_downgrades,0.5354,ok
avg_satisfaction,0.5314,ok
upgrade_net,0.5305,ok
industry_FinTech,0.5303,ok
total_mrr,0.5297,ok
country_US,0.5284,ok
latest_plan_tier_Enterprise,0.5284,ok
unique_features_used,0.5278,ok
referral_source_organic,0.5278,ok
industry_EdTech,0.5271,ok
max_mrr,0.5266,ok
country_CA,0.5246,ok
min_satisfaction,0.5246,ok
mrr_per_seat,0.5238,ok
n_ended_subs,0.5226,ok
country_UK,0.5221,ok
referral_source_partner,0.5208,ok
is_trial,0.5202,ok
pct_subs_ended,0.5191,ok
country_FR,0.5189,ok
seat_growth,0.5186,ok
tickets_last_90d,0.5173,ok
country_DE,0.517,ok
n_urgent_high,0.5162,ok
first_seats,0.5161,ok
plan_tier_Enterprise,0.5139,ok
beta_feature_pct,0.5138,ok
max_resolution_hours,0.5119,ok
recency_ratio_90d,0.5115,ok
churn_flag,0.5107,ok
plan_tier_Pro,0.5107,ok
seats,0.5103,ok
referral_source_event,0.5101,ok
usage_momentum,0.51,ok
country_IN,0.5095,ok
days_since_last_ticket,0.5093,ok
billing_freq_monthly,0.5088,ok
tickets_per_seat,0.5084,ok
industry_HealthTech,0.5082,ok
latest_seats,0.5078,ok
mrr_growth,0.5076,ok
usage_last_30d,0.5074,ok
usage_per_seat,0.5066,ok
urgent_pct,0.506,ok
referral_source_other,0.5057,ok
n_open_tickets,0.5051,ok
n_tickets,0.5049,ok
days_since_last_usage,0.503,ok
auto_renew_pct,0.5026,ok
sat_missing_rate,0.5025,ok
n_escalations,0.5018,ok
escalation_rate,0.5009,ok
