feature,coef,p,a
cat__latest_plan_tier_Pro,-1.4497,0.006,1.4497
cat__referral_source_partner,1.1558,0.034,1.1558
num__n_subscriptions,1.0943,0.034,1.0943
num__mrr_std,-0.9665,0.042,0.9665
cat__industry_DevTools,0.9188,0.09,0.9188
num__pct_subs_ended,0.8863,0.056,0.8863
cat__referral_source_event,-0.8492,0.11,0.8492
num__accel_30d_vs_90d,-0.8313,0.05,0.8313
num__usage_last_30d,0.7998,0.082,0.7998
num__days_since_last_sub_start,-0.788,0.03,0.788
cat__latest_plan_tier_Enterprise,0.7666,0.184,0.7666
num__unique_features_used,-0.7357,0.176,0.7357
cat__referral_source_organic,0.7037,0.2,0.7037
num__avg_mrr,0.6532,0.166,0.6532
num__n_trial_subs,-0.6363,0.094,0.6363
num__n_ended_subs,-0.5619,0.228,0.5619
cat__billing_freq_monthly,0.5384,0.304,0.5384
num__escalation_rate,-0.5365,0.24,0.5365
num__usage_trend_slope,-0.5276,0.1,0.5276
cat__country_US,0.5062,0.272,0.5062
num__total_usage_duration_mins,0.506,0.382,0.506
num__n_tickets,-0.505,0.252,0.505
num__n_upgrades,-0.4991,0.022,0.4991
num__latest_seats,0.4933,0.126,0.4933
cat__country_FR,0.4757,0.444,0.4757
num__usage_last_90d,-0.4459,0.328,0.4459
cat__industry_FinTech,0.4265,0.46,0.4265
num__avg_first_response_mins,0.4249,0.158,0.4249
cat__country_CA,-0.4029,0.51,0.4029
num__avg_resolution_hours,-0.3905,0.32,0.3905
num__upgrade_net,-0.3785,0.016,0.3785
num__avg_usage_count,-0.3565,0.242,0.3565
cat__referral_source_other,-0.3266,0.54,0.3266
num__accel_30d_vs_180d,-0.326,0.486,0.326
num__usage_span_days,0.3247,0.46,0.3247
num__max_gap_days,0.3233,0.468,0.3233
num__usage_last_60d,-0.3196,0.514,0.3196
num__first_seats,0.3143,0.16,0.3143
num__latest_is_trial,-0.3112,0.41,0.3112
cat__industry_HealthTech,0.3054,0.522,0.3054
num__sat_missing_rate,0.2942,0.34,0.2942
num__mrr_cv,0.2905,0.456,0.2905
num__usage_delta_90d,0.2863,0.556,0.2863
num__tickets_last_90d,0.2717,0.504,0.2717
num__days_since_last_ticket,0.268,0.502,0.268
cat__country_UK,0.2595,0.636,0.2595
num__urgent_pct,-0.256,0.54,0.256
cat__country_IN,0.2521,0.648,0.2521
num__days_since_signup,-0.2496,0.612,0.2496
num__tenure_days,-0.2472,0.7,0.2472
num__n_escalations,0.2459,0.608,0.2459
num__tickets_last_30d,-0.2387,0.49,0.2387
num__usage_last_180d,-0.2304,0.434,0.2304
num__mrr_growth_pct,0.2034,0.598,0.2034
num__accel_90d_vs_180d,-0.1945,0.672,0.1945
cat__plan_tier_Pro,0.1886,0.748,0.1886
num__total_errors,-0.1847,0.706,0.1847
cat__country_DE,-0.1694,0.802,0.1694
num__usage_per_seat,-0.1687,0.79,0.1687
num__auto_renew_pct,0.1608,0.62,0.1608
num__error_rate,-0.1555,0.674,0.1555
num__max_resolution_hours,0.151,0.722,0.151
num__days_since_last_usage,0.1423,0.766,0.1423
num__ticket_accel_30d_vs_90d,-0.128,0.722,0.128
num__max_mrr,0.1169,0.848,0.1169
num__total_usage_events,-0.1122,0.808,0.1122
num__n_downgrades,-0.1081,0.726,0.1081
num__n_open_tickets,-0.1041,0.9,0.1041
num__recency_ratio_90d,-0.0833,0.848,0.0833
num__avg_satisfaction,-0.0767,0.852,0.0767
num__mrr_per_seat,-0.0728,0.892,0.0728
num__seat_growth,0.0708,0.78,0.0708
num__tickets_per_seat,-0.0648,0.894,0.0648
num__latest_mrr,0.0614,0.86,0.0614
num__mrr_growth,0.0583,0.806,0.0583
num__n_urgent_high,0.0581,0.892,0.0581
cat__plan_tier_Enterprise,0.0563,0.908,0.0563
num__usage_prior_90d,0.0499,0.908,0.0499
num__total_mrr,-0.0476,0.936,0.0476
num__mean_gap_days,-0.0431,0.944,0.0431
cat__industry_EdTech,-0.031,0.974,0.031
num__usage_momentum,-0.0247,0.962,0.0247
num__first_mrr,-0.0177,0.964,0.0177
num__tickets_last_180d,-0.0083,0.984,0.0083
num__min_satisfaction,-0.0081,0.982,0.0081
num__beta_feature_pct,0.0029,0.988,0.0029
