feature,mean,sd,agree,a
num__n_subscriptions,0.9087,0.2842,1.0,0.9087
num__n_upgrades,-0.4643,0.1211,1.0,0.4643
num__n_downgrades,-0.059,0.1615,0.64,0.059
num__n_trial_subs,-0.5759,0.2829,0.96,0.5759
num__total_mrr,0.0217,0.2965,0.48,0.0217
num__max_mrr,0.0729,0.2289,0.6,0.0729
num__avg_mrr,0.5327,0.1751,1.0,0.5327
num__mrr_std,-0.7965,0.1889,1.0,0.7965
num__auto_renew_pct,0.1239,0.1401,0.8,0.1239
num__tenure_days,-0.2206,0.2754,0.8,0.2206
num__n_ended_subs,-0.3836,0.222,0.96,0.3836
num__days_since_last_sub_start,-0.7598,0.3102,1.0,0.7598
num__latest_seats,0.4641,0.1967,0.96,0.4641
num__latest_mrr,0.0589,0.2254,0.6,0.0589
num__latest_is_trial,-0.3346,0.2108,1.0,0.3346
num__first_seats,0.2957,0.1211,0.96,0.2957
num__first_mrr,-0.0005,0.2111,0.6,0.0005
num__seat_growth,0.0641,0.1479,0.76,0.0641
num__mrr_growth,0.0427,0.1117,0.68,0.0427
num__mrr_growth_pct,0.2413,0.2233,0.92,0.2413
num__upgrade_net,-0.3719,0.102,1.0,0.3719
num__mrr_cv,0.2352,0.22,0.88,0.2352
num__pct_subs_ended,0.7202,0.1924,1.0,0.7202
num__total_usage_events,-0.0797,0.2561,0.6,0.0797
num__unique_features_used,-0.5753,0.3109,1.0,0.5753
num__total_usage_duration_mins,0.3794,0.2408,0.92,0.3794
num__total_errors,-0.2212,0.2893,0.76,0.2212
num__beta_feature_pct,0.0345,0.171,0.64,0.0345
num__avg_usage_count,-0.2743,0.2373,0.88,0.2743
num__days_since_last_usage,0.0857,0.1689,0.6,0.0857
num__usage_span_days,0.2622,0.2418,0.84,0.2622
num__error_rate,-0.174,0.2048,0.8,0.174
num__usage_last_30d,0.7345,0.2021,1.0,0.7345
num__usage_last_60d,-0.2771,0.2354,0.88,0.2771
num__usage_last_90d,-0.3664,0.1905,1.0,0.3664
num__usage_last_180d,-0.2337,0.1035,1.0,0.2337
num__accel_30d_vs_90d,-0.8016,0.2463,1.0,0.8016
num__accel_30d_vs_180d,-0.3249,0.2644,0.96,0.3249
num__accel_90d_vs_180d,-0.2847,0.1959,0.84,0.2847
num__usage_prior_90d,-0.0277,0.1606,0.64,0.0277
num__usage_momentum,0.0479,0.1998,0.68,0.0479
num__usage_delta_90d,0.2021,0.235,0.72,0.2021
num__recency_ratio_90d,-0.0886,0.1816,0.8,0.0886
num__usage_trend_slope,-0.4997,0.1814,1.0,0.4997
num__mean_gap_days,0.0072,0.2108,0.64,0.0072
num__max_gap_days,0.2708,0.1961,0.84,0.2708
num__n_tickets,-0.4129,0.2729,0.88,0.4129
num__avg_resolution_hours,-0.3794,0.2406,0.88,0.3794
num__max_resolution_hours,0.0607,0.2367,0.64,0.0607
num__avg_first_response_mins,0.4484,0.1747,1.0,0.4484
num__avg_satisfaction,-0.0529,0.226,0.6,0.0529
num__min_satisfaction,-0.0233,0.2285,0.6,0.0233
num__sat_missing_rate,0.2698,0.1442,0.96,0.2698
num__n_escalations,0.1814,0.175,0.8,0.1814
num__days_since_last_ticket,0.2261,0.3119,0.68,0.2261
num__n_urgent_high,0.0088,0.1759,0.44,0.0088
num__n_open_tickets,-0.0947,0.0838,0.8,0.0947
num__urgent_pct,-0.2092,0.22,0.84,0.2092
num__escalation_rate,-0.5065,0.1973,0.96,0.5065
num__tickets_last_30d,-0.1857,0.2547,0.8,0.1857
num__tickets_last_90d,0.1923,0.2475,0.72,0.1923
num__tickets_last_180d,-0.0149,0.2025,0.56,0.0149
num__ticket_accel_30d_vs_90d,-0.0722,0.2848,0.6,0.0722
num__days_since_signup,-0.3116,0.2445,0.92,0.3116
num__usage_per_seat,-0.1757,0.1917,0.8,0.1757
num__tickets_per_seat,-0.0535,0.231,0.48,0.0535
num__mrr_per_seat,-0.0687,0.2297,0.6,0.0687
cat__industry_DevTools,0.7667,0.1716,1.0,0.7667
cat__industry_EdTech,0.0187,0.2731,0.48,0.0187
cat__industry_FinTech,0.2412,0.2922,0.84,0.2412
cat__industry_HealthTech,0.258,0.2547,0.8,0.258
cat__country_CA,-0.3567,0.1275,1.0,0.3567
cat__country_DE,-0.1891,0.2727,0.76,0.1891
cat__country_FR,0.3189,0.2687,0.92,0.3189
cat__country_IN,0.1857,0.2435,0.76,0.1857
cat__country_UK,0.2254,0.227,0.8,0.2254
cat__country_US,0.4522,0.2771,1.0,0.4522
cat__referral_source_event,-0.759,0.3174,1.0,0.759
cat__referral_source_organic,0.6468,0.3195,1.0,0.6468
cat__referral_source_other,-0.3479,0.272,1.0,0.3479
cat__referral_source_partner,1.0881,0.2647,1.0,1.0881
cat__plan_tier_Enterprise,0.0576,0.2398,0.72,0.0576
cat__plan_tier_Pro,0.1384,0.3107,0.68,0.1384
cat__latest_plan_tier_Enterprise,0.6475,0.3139,1.0,0.6475
cat__latest_plan_tier_Pro,-1.3528,0.3298,1.0,1.3528
cat__billing_freq_monthly,0.4549,0.2763,0.92,0.4549
