horizon,buffer,n,positives,rate,cv_auc,ci_lo,ci_hi
30,0,177,23,0.13,0.5612,0.2697,0.7787
30,30,156,19,0.122,0.5217,0.2812,0.7389
30,60,141,16,0.113,0.4543,0.12,0.6903
60,0,177,41,0.232,0.5656,0.3867,0.6985
60,30,156,36,0.231,0.4801,0.3228,0.6678
60,60,141,32,0.227,0.49,0.2273,0.7634
90,0,177,54,0.305,0.5829,0.3651,0.7507
90,30,156,46,0.295,0.4239,0.2497,0.5758
90,60,141,40,0.284,0.4554,0.3077,0.602
180,0,177,80,0.452,0.5874,0.4588,0.7127
180,30,156,68,0.436,0.4903,0.3198,0.7025
180,60,141,60,0.426,0.4265,0.2836,0.6274
