,coefficient
cat__latest_plan_tier_Pro,-1.4496788095460773
cat__referral_source_partner,1.155839273098439
num__n_subscriptions,1.0942513239353597
num__mrr_std,-0.9664597904342784
cat__industry_DevTools,0.9188205740686197
num__pct_subs_ended,0.8863118334106577
cat__referral_source_event,-0.8491926177870601
num__accel_30d_vs_90d,-0.8312809809916806
num__usage_last_30d,0.7998348121677114
num__days_since_last_sub_start,-0.7880051497397124
cat__latest_plan_tier_Enterprise,0.7665697761527337
num__unique_features_used,-0.7357201912627972
cat__referral_source_organic,0.7037243185905854
num__avg_mrr,0.6532410045590009
num__n_trial_subs,-0.6362793787669481
num__n_ended_subs,-0.5619379523870622
cat__billing_freq_monthly,0.5384030879215784
num__escalation_rate,-0.5364557909083012
num__usage_trend_slope,-0.5276201713941666
cat__country_US,0.5062173571855417
num__total_usage_duration_mins,0.5060087616697658
num__n_tickets,-0.5049802066946587
num__n_upgrades,-0.4990921972102101
num__latest_seats,0.4932744299437736
cat__country_FR,0.4756891555931543
num__usage_last_90d,-0.4458763792085435
cat__industry_FinTech,0.4265415628111373
num__avg_first_response_mins,0.42494005889176656
cat__country_CA,-0.4028566184218109
num__avg_resolution_hours,-0.3905420450075846
num__upgrade_net,-0.37845677870672234
num__avg_usage_count,-0.3564786176131701
cat__referral_source_other,-0.32657104251277635
num__accel_30d_vs_180d,-0.32595783239749554
num__usage_span_days,0.32471524080669517
num__max_gap_days,0.3233134758595168
num__usage_last_60d,-0.31957107409348295
num__first_seats,0.3142508977008139
num__latest_is_trial,-0.31119258263096966
cat__industry_HealthTech,0.3054105032716926
num__sat_missing_rate,0.29424133847177564
num__mrr_cv,0.2905106785604072
num__usage_delta_90d,0.2862626064829123
num__tickets_last_90d,0.27172893009117993
num__days_since_last_ticket,0.26799553753987004
cat__country_UK,0.25947299472747426
num__urgent_pct,-0.25598497714862917
cat__country_IN,0.2521220661443136
num__days_since_signup,-0.24957152735857416
num__tenure_days,-0.24718135708629974
num__n_escalations,0.24585874047250822
num__tickets_last_30d,-0.23872461188479624
num__usage_last_180d,-0.23043055028644482
num__mrr_growth_pct,0.20343663346722626
num__accel_90d_vs_180d,-0.19449235970384823
cat__plan_tier_Pro,0.18861009465938774
num__total_errors,-0.18466252816233858
cat__country_DE,-0.16937492936455448
num__usage_per_seat,-0.1687178194446737
num__auto_renew_pct,0.16079810425246677
num__error_rate,-0.15552629297975767
num__max_resolution_hours,0.15104298376386632
num__days_since_last_usage,0.1423199179120658
num__ticket_accel_30d_vs_90d,-0.1280387374457352
num__max_mrr,0.1169190657533169
num__total_usage_events,-0.11221140913868047
num__n_downgrades,-0.1080518541811325
num__n_open_tickets,-0.10412513528469113
num__recency_ratio_90d,-0.08326373455756259
num__avg_satisfaction,-0.07672929942540252
num__mrr_per_seat,-0.07276530528370609
num__seat_growth,0.070771541350705
num__tickets_per_seat,-0.06477909476639596
num__latest_mrr,0.06136094073131359
num__mrr_growth,0.058271125151643906
num__n_urgent_high,0.058087574372800425
cat__plan_tier_Enterprise,0.05626989264093353
num__usage_prior_90d,0.04990205940653489
num__total_mrr,-0.04758244366121641
num__mean_gap_days,-0.043058949737742255
cat__industry_EdTech,-0.030980696762399527
num__usage_momentum,-0.024715759216198892
num__first_mrr,-0.017655844787695794
num__tickets_last_180d,-0.008322666587434482
num__min_satisfaction,-0.008065679050011796
num__beta_feature_pct,0.0028500580495406146
