repeat,fold,selected,inner_auc,outer_auc
1,1,8. XGBoost (native NaN + categoricals),0.6079,0.4982
1,2,"4. Logistic (L1, C=0.1)",0.6078,0.5309
1,3,9. HistGradientBoosting (native NaN),0.657,0.508
1,4,"3. Logistic (L2, C=0.05)",0.5903,0.5038
1,5,"3. Logistic (L2, C=0.05)",0.5734,0.4962
2,1,"2. Logistic (L2, C=1)",0.5398,0.7564
2,2,8. XGBoost (native NaN + categoricals),0.5374,0.6582
2,3,"2. Logistic (L2, C=1)",0.6913,0.356
2,4,9. HistGradientBoosting (native NaN),0.5516,0.5606
2,5,5. Random forest (depth 4),0.58,0.5568
3,1,8. XGBoost (native NaN + categoricals),0.5381,0.5855
3,2,"2. Logistic (L2, C=1)",0.6119,0.3382
3,3,9. HistGradientBoosting (native NaN),0.6528,0.328
3,4,6. LightGBM (pipelined),0.6437,0.4962
3,5,8. XGBoost (native NaN + categoricals),0.5506,0.6894
4,1,1. Single decision stump,0.5879,0.5364
4,2,"3. Logistic (L2, C=0.05)",0.6036,0.5055
4,3,"4. Logistic (L1, C=0.1)",0.606,0.432
4,4,8. XGBoost (native NaN + categoricals),0.5662,0.5758
4,5,"2. Logistic (L2, C=1)",0.5785,0.7083
5,1,8. XGBoost (native NaN + categoricals),0.5694,0.6327
5,2,"2. Logistic (L2, C=1)",0.5604,0.4982
5,3,6. LightGBM (pipelined),0.5763,0.496
5,4,8. XGBoost (native NaN + categoricals),0.6132,0.5492
5,5,9. HistGradientBoosting (native NaN),0.5675,0.5492
