trial,model,cv_auc
0,LinearSVC,0.5336757575757576
0,SGD (log loss),0.5175696969696969
0,Logistic (L2),0.5121636363636364
0,LDA,0.5069878787878788
0,Ridge,0.5042969696969697
0,Extra trees,0.5011030303030303
0,Extra tree,0.49906666666666677
0,kNN (k=15),0.4841469696969697
0,Gradient boosting,0.4629
0,GaussianNB,0.46076060606060604
0,AdaBoost,0.45942272727272726
0,Random forest,0.45796363636363624
0,LightGBM,0.4519151515151515
0,XGBoost,0.44793939393939397
0,Decision tree (d3),0.44326060606060613
1,Extra tree,0.527539393939394
1,Extra trees,0.4877666666666666
1,GaussianNB,0.45816818181818186
1,SGD (log loss),0.4567030303030303
1,kNN (k=15),0.4541969696969697
1,Logistic (L2),0.45105757575757577
1,Ridge,0.4417242424242424
1,LightGBM,0.43961212121212123
1,XGBoost,0.4387818181818182
1,LDA,0.4360818181818182
1,AdaBoost,0.4282151515151515
1,LinearSVC,0.4227818181818182
1,Decision tree (d3),0.40548333333333336
1,Random forest,0.3997454545454545
1,Gradient boosting,0.385730303030303
2,AdaBoost,0.5132439393939394
2,Extra tree,0.5106030303030302
2,Decision tree (d3),0.510180303030303
2,Gradient boosting,0.4764424242424242
2,LightGBM,0.4727484848484848
2,GaussianNB,0.47226060606060616
2,Extra trees,0.44277575757575754
2,Random forest,0.44066666666666665
2,kNN (k=15),0.4403787878787879
2,XGBoost,0.42917272727272726
2,LinearSVC,0.4062363636363636
2,SGD (log loss),0.4047454545454546
2,LDA,0.4046242424242424
2,Logistic (L2),0.4013030303030303
2,Ridge,0.3898545454545455
3,kNN (k=15),0.6159727272727273
3,Gradient boosting,0.5656575757575758
3,AdaBoost,0.5626242424242422
3,Decision tree (d3),0.5247469696969698
3,Extra tree,0.5230303030303031
3,XGBoost,0.5152939393939393
3,Random forest,0.5076212121212121
3,LDA,0.501339393939394
3,Extra trees,0.4899757575757576
3,LightGBM,0.48798787878787875
3,Ridge,0.47752424242424246
3,LinearSVC,0.47372121212121215
3,SGD (log loss),0.47351212121212116
3,GaussianNB,0.46890303030303027
3,Logistic (L2),0.4554060606060606
4,Gradient boosting,0.5652939393939393
4,LightGBM,0.5519060606060606
4,GaussianNB,0.5480227272727272
4,Random forest,0.5466636363636364
4,XGBoost,0.5410363636363635
4,SGD (log loss),0.5376727272727273
4,Logistic (L2),0.5289181818181818
4,Decision tree (d3),0.5246363636363636
4,kNN (k=15),0.5215954545454545
4,Extra trees,0.5161909090909091
4,LinearSVC,0.5119969696969696
4,Ridge,0.5100090909090909
4,LDA,0.49964545454545445
4,Extra tree,0.4724651515151515
4,AdaBoost,0.465140909090909
5,GaussianNB,0.5789469696969697
5,kNN (k=15),0.5782136363636364
5,Extra tree,0.5511469696969696
5,Extra trees,0.5504757575757576
5,Decision tree (d3),0.5475878787878788
5,Random forest,0.542160606060606
5,SGD (log loss),0.5219151515151516
5,Ridge,0.5164727272727272
5,LDA,0.5161424242424242
5,AdaBoost,0.5037984848484848
5,LinearSVC,0.5034181818181819
5,Logistic (L2),0.49783030303030307
5,LightGBM,0.4924151515151515
5,Gradient boosting,0.4883
5,XGBoost,0.483060606060606
6,Random forest,0.5692393939393939
6,Extra trees,0.5680121212121212
